Datetime,Year,Month,Day,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,CO AQI 2000,CO AQI 2015,NO2 AQI 2000,NO2 AQI 2015,O3 AQI 2000,O3 AQI 2015,SO2 AQI 2000,SO2 AQI 2015
2000-03-01,2000,3,1,Los Angeles,2000-03-01,33.521739000000004,48.0,22,45,0.010375,0.027000000000000003,9,23,0.0,0.0,0,0.0,1.004167,1.6,8,18.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-02,2000,3,2,Los Angeles,2000-03-02,44.173913,55.0,18,52,0.009375,0.025,10,21,0.173913,1.0,19,1.0,1.5375,2.2,4,25.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-03,2000,3,3,Los Angeles,2000-03-03,32.608696,42.0,18,40,0.012542,0.025,10,21,0.391304,3.0,5,4.0,0.729167,1.0,0,11.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-04,2000,3,4,Los Angeles,2000-03-04,31.347826,42.0,10,40,0.016916999999999998,0.029,12,25,0.26087,3.0,5,4.0,0.7125,1.0,8,11.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-05,2000,3,5,Los Angeles,2000-03-05,16.956522,42.0,22,40,0.021875,0.032,11,27,0.086957,2.0,5,3.0,0.404167,0.8,23,9.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-06,2000,3,6,Los Angeles,2000-03-06,33.086957,44.0,21,42,0.012125,0.025,9,21,0.391304,3.0,5,4.0,0.725,1.4,23,16.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-07,2000,3,7,Los Angeles,2000-03-07,33.913043,44.0,23,42,0.010458,0.02,10,17,0.782609,5.0,5,7.0,1.245833,2.0,6,23.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-08,2000,3,8,Los Angeles,2000-03-08,29.217391,37.0,19,35,0.010208,0.02,11,17,0.086957,2.0,5,3.0,0.604167,1.2,23,14.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-09,2000,3,9,Los Angeles,2000-03-09,28.73913,44.0,22,42,0.012958,0.029,10,25,0.347826,3.0,5,4.0,1.166667,1.9,4,22.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-10,2000,3,10,Los Angeles,2000-03-10,40.347826,59.0,18,56,0.010458,0.027000000000000003,10,23,1.2608700000000002,5.0,5,7.0,1.466667,2.3,23,26.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-11,2000,3,11,Los Angeles,2000-03-11,40.608696,57.0,18,54,0.013291999999999998,0.035,10,30,1.086957,6.0,5,9.0,1.458333,2.6,1,30.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-12,2000,3,12,Los Angeles,2000-03-12,46.217391,67.0,19,65,0.015,0.033,9,28,2.043478,5.0,5,7.0,1.7,3.0,4,34.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-13,2000,3,13,Los Angeles,2000-03-13,43.0,65.0,10,63,0.011542,0.026,10,22,0.5217390000000001,2.0,5,3.0,0.920833,1.5,23,17.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-14,2000,3,14,Los Angeles,2000-03-14,65.478261,116.0,11,104,0.01625,0.041,11,35,1.478261,5.0,7,7.0,2.0708330000000004,3.0,11,34.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-15,2000,3,15,Los Angeles,2000-03-15,52.217391,81.0,12,80,0.024125,0.043,11,36,0.652174,2.0,5,3.0,1.325,2.0,0,23.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-16,2000,3,16,Los Angeles,2000-03-16,34.0,52.0,18,49,0.027792,0.043,11,36,0.130435,1.0,5,1.0,0.854167,1.1,0,13.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-17,2000,3,17,Los Angeles,2000-03-17,43.913043,73.0,18,71,0.015542,0.036000000000000004,10,31,0.695652,2.0,19,3.0,0.979167,2.5,23,28.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-18,2000,3,18,Los Angeles,2000-03-18,58.39130400000001,91.0,23,90,0.023125,0.057,12,48,1.478261,5.0,7,7.0,1.854167,2.8,1,32.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
2000-03-19,2000,3,19,Los Angeles,2000-03-19,45.26087,85.0,0,84,0.025958,0.054000000000000006,10,46,1.521739,4.0,5,6.0,1.475,2.4,6,27.0,18.5,6.4,60.3,31.3,32.7,43.0,7.14,0.85
